dataset	embedding	embedding__drop30	embedding__drop60	embedding__drop80	embedding__drop90	embedding_weak	embedding_weak__drop30	embedding_weak__drop60	embedding_weak__drop80	embedding_weak__drop90	embedding_weak_chi2	embedding_weak_chi2__drop30	embedding_weak_chi2__drop60	embedding_weak_chi2__drop80	embedding_weak_chi2__drop90	proba	proba__drop30	proba__drop60	proba__drop80	proba__drop90	proba_weak	proba_weak__drop30	proba_weak__drop60	proba_weak__drop80	proba_weak__drop90
Corel5k	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0
bibtex	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
birds	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
delicious	1	1	1	1	1	0	0	0	0	1	0	0	0	0	1	1	0	2	2	1	0	0	1	1	1
emotions	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
enron	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1
genbase	1	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
mediamill	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1
medical	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1
rcv1subset1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1
scene	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
tmc2007_500	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
yeast	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
