	embedding__1	embedding__10	embedding__2	embedding__3	embedding__4	embedding__5	embedding__6	embedding__7	embedding__8	embedding__9
embedding__1	1.0	0.06392045454545454	0.06392045454545454	0.06392045454545454	0.06392045454545454	0.06392045454545454	0.06392045454545454	0.06392045454545454	0.06392045454545454	0.06392045454545454
embedding__10	0.06392045454545454	1.0	0.06392045454545454	0.06392045454545454	0.125	0.06392045454545454	0.06392045454545454	0.06392045454545454	0.06392045454545454	0.06392045454545454
embedding__2	0.06392045454545454	0.06392045454545454	1.0	0.06392045454545454	0.06392045454545454	0.06392045454545454	0.06392045454545454	0.06392045454545454	0.06392045454545454	0.06392045454545454
embedding__3	0.06392045454545454	0.06392045454545454	0.06392045454545454	1.0	0.06392045454545454	0.06392045454545454	0.06392045454545454	0.06392045454545454	0.06392045454545454	0.06392045454545454
embedding__4	0.06392045454545454	0.125	0.06392045454545454	0.06392045454545454	1.0	0.06392045454545454	0.06392045454545454	0.06392045454545454	0.06392045454545454	0.06392045454545454
embedding__5	0.06392045454545454	0.06392045454545454	0.06392045454545454	0.06392045454545454	0.06392045454545454	1.0	0.06392045454545454	0.06392045454545454	0.06392045454545454	0.06392045454545454
embedding__6	0.06392045454545454	0.06392045454545454	0.06392045454545454	0.06392045454545454	0.06392045454545454	0.06392045454545454	1.0	0.06392045454545454	0.06392045454545454	0.06392045454545454
embedding__7	0.06392045454545454	0.06392045454545454	0.06392045454545454	0.06392045454545454	0.06392045454545454	0.06392045454545454	0.06392045454545454	1.0	0.06392045454545454	0.06392045454545454
embedding__8	0.06392045454545454	0.06392045454545454	0.06392045454545454	0.06392045454545454	0.06392045454545454	0.06392045454545454	0.06392045454545454	0.06392045454545454	1.0	0.06392045454545454
embedding__9	0.06392045454545454	0.06392045454545454	0.06392045454545454	0.06392045454545454	0.06392045454545454	0.06392045454545454	0.06392045454545454	0.06392045454545454	0.06392045454545454	1.0
